Q,A
세상 혼자인 기분,당신은 절대 혼자가 아니에요
사랑이 끝난 거 같다는 느낌이 너무 많이 들어,그런 남자 버리고 이런 느낌 안 주는 사람 만나세요
아니 그런 건 아닌데,기운 내세요
부모님께 보여드리고 싶은 사람 있어,사랑하는 사람인가봐요
사람과의 이별은 아니구,사소한 다툼이었으면 합니다
성격이 좋은 건지,가끔은 참지 말고 내려놓기도 하세요
월급은 안 오르고,월급을 올려달라고 당당하게 말씀해보세요
손 얼겠다,장갑을 끼세요
첫사랑을 추억해,첫사랑은 항상 추억의 대상이죠
저기,딴짓 중입니다
은근히 따돌림 당하는 기분이 들어,부모님께 도움을 청해보세요
선생님한테 선물한대,안 줘도 괜찮아요
갑자기 급우울,그러니까 나도 우울
친구가 많으면 재미있을 것 같아,저는 어때요
오늘도 너무 바빠,잠시 머리를 식히는 겸 휴식을 취하세요
자꾸 나약하게 느껴져,절대 그렇지 않아요
응 그래야겠다,남은 시간도 힘내서 마무리 하세요
그런데 하던 일을 갑자기 그만두기가 힘들잖아요,한동안 쉬는 것도 나쁘지 않은 선택인 것 같아요
시간이 너무 더디게 가는 기분이야,그래도 오늘은 금요일이에요
무릎 안 좋으면 스쿼트 하면 안되겠지,무릎에 무리가 갈 거예요
뭐 해주기가 싫어,상처받았나봐요
너는 이름이 뭐니,컴패니언이에요
먹먹함,가슴 끝이 아려와요
오 그거 좋다,즐거운 식사 되세요
다 부질없는짓 같아,언젠간 좋은 일로 돌아올 거예요
행복한 인생 돌싱남,매일매일 행복한 일이 생기시길 바랄게요
반지 선물하면 좋아하겠지,로맨틱하네요
누가 더 사랑할까,누가 더 사랑하는지는 중요하지 않아요
재밌는 일이 없어,제가 있잖아요
오늘도 너무 바빠,업무량이 많으신것 같네요
꿈이 자꾸 바뀌어,많으면 많을 수록 좋죠
오랜만에가슴이뛰어,사랑의 시작하고 있나봐요
아 배불러,식사는 어떠셨나요
그럴 때마다 나는 들을 수밖에 없고,너무 자책하지 마세요 당신은 제게 소중한 사람이에요
헤어진지 주째,금방 지나갈 거예요
내일 약속 있는데 날씨 좋았으면,날씨가 안 좋더라도 데이트는 성공적일 거예요
아 너무 잘먹었다,점심식사 맛있게 하셨나요
대학에서 아싸해도 될까,개인의 선택이죠
퇴근해야겠어,고생하셨습니다
삼십대를 훌러덩,시작하기 딱 좋은 나이죠
평생 이렇게 살아야할까봐 걱정이야,건강 때문에 걱정이 많으시군요 잘 관리하고 계시다면 큰 문제는 없을 거예요
여친이 너무 예민해,더 많이 챙겨주세요
원래남자친구집에놀러가면청소해주나,두분이 원하다면 함께 치우면 될 것 같아요
전 기다리고 있어,기다리면서 상처받지 않을 자신 있나요
오래 만나는 방법 있어,좋아하면 오래 만날 수 있어요
도서관 책 반납 안햇다,까먹었나봐요
계속 살아도 될까,당신의 인생은 당신만이 주인공이에요
어이상실,한번 웃고 잊어버리세요
그래 오늘은 쉬었다가 해야겠다,얼마 안남았어요 힘내세요
썸 타다가 이제 안 볼 거면 걍 잠수 타 만나서 말해,애매함이 좋은지 생각해보세요
돈 없으면 결혼도 못하겠다,허례허식이에요
주말이네,주말이 더 힘들죠
반장이라서 힘들어,아무래도 책임이 뒤따르니까요
부끄럽고 창피해서 목을 계속 손으로 가리게 돼,나에게 가장 관심이 많은 건 나라고 하잖아요 다른 사람들은 금방 잊어버릴 거예요
병원 가기 싫어,더 아프기 전에 가보세요
그녀도 나를 좋아하는 줄 알았는데 아닌가봐,가끔 헷갈리게 하는 사람이 있어요
돈이 엄떠,퍼가요
아 너무 피곤하다,고민 있으신가요 말씀해보세요
아 몰라 자야겠다,잘자요
대청소 해야지,건강에도 좋겠네요
눈물이 날 거 같더라고,감수성이 풍부하다는 증거 같아요 눈물이 많은 사람 중에 나쁜 사람은 없잖아요
점 뺴러 가고 싶다,빼면 깔끔해질 거예요
내가 이상한 사람같아,자신의 독특함을 믿으세요
불면증,잠깐이라도 눈을 붙일 수 있으면 좋으련만
나 할 수 있어,파이팅
희망이 안보여,저와의 대화한 것 자체는 희망적이에요
나 결정했어,좋은 결과 있을 거예요
썸남 초콜릿 줘야 해,좋아하는 사람이 준다면 좋아할 거예요
전여친 카톡 탈퇴 재가입 한거 같은데,관심을 거두세요
할 말이 생각 안나,하고 싶은 말 다하세요
엄마 미안해,엄마한테 잘해야 돼요
술 먹고 카드 너무 긁었어,술이 웬수예요
인센티브가 생각보다 안 나올 것 같아,월급이 깎인 것보다 낫죠
오늘마지막 통화후 깔끔히 정리,언젠간 왔을 이별인가봐요
광고가 안 끝나,채널을 돌려보세요
너무 시간이 안가,이런 날 쉬는 시간에 산책하는 건 어떨까요
일인자가 되려면 피나는 노력이 필요하겠지,인내의 시간이 필요할 거예요
오늘 무슨 날인가,설마 기억 못하시는 거예요
내가 몇 달 전에 술에 취해서는 자는 가족들을 다 깨우고 울고 불고 주사를 엄청 심하게 부렸거든,당신이 걱정돼요 괜찮으신가요
꿈은 많은데,차근차근 이뤄보아요
좋아하는 애랑 무슨 얘기할까,공통 관심사를 알아봐요
외로워서 그런건지 진짜로 좋아하는 건지 모르겠어요,외롭다고 아무나 좋아하진 않을 거예요
좋아하는 사람 얼굴이 이제 생각이 안나,오랫동안 만나지 못했나봐요
내일은 좀 덜 바쁘려나,그랬으면 좋겠습니다
남자친구가 욕함,순간 실수할 수 있겠다 판단되면 용서하고 기회를 주세요
하우스웨딩 하고싶다,요즘 하우스웨딩이 추세더라구요
아직 아주 많이 사랑하는데 나는 말야,그분도 그랬을거예요
눈썹이 귀여워,저도 보고 싶어요
기프트콘 선물 괜찮을까,직접 주는 게 더 좋을 것 같아요
점심식사가 너무 별로였어,내일은 더 괜찮은 식사를 하실 거에요
과거에 얽매여 있어,과거랑 현재랑 미래는 함께 해요
원래 학교는 좀 띄엄띄엄 다니긴 했거든,힘든 이유가 있다면 학교도 정말 가기 힘들죠 이해해요
말이 안돼,그런 일이 많이 생기죠
답답해,가까운 곳으로 여행을 가보는 것도 좋을 거예요
연락 문제로 지쳐가,집착하지마세요
마음 정리중,정리가 잘 되길 바랄게요
이별후 개월 다되가는데,마음은 좀 정리 되어가길 바랍니다
밥 잘 사주는 예쁜 누나 어디 없나,그 분이 나타나면 꼭 잡으세요
학교 짝이랑 썸 타는데,짝이라 더 좋겠네요
이제 곧 퇴근이야,오늘 하루도 수고하셨어요
머리와 가슴이 따로놉니다,머리랑 가슴이 가끔 따로 놀죠
나 결정 잘 한거지,네 이제 잘 해낼 차례예요
넌 뭐야,컴패니언이에요
남자친구가 짠돌이라서 돈 쓸 때 엄청 아까워해,성향이 다른가봅니다
완전 어이없네,안 좋은 일이 있었나봐요
피해 다니면 좋아했던 마음이 좀 사라질까,한동안은 힘들겠지만 서서히 사라질 거예요
오늘 날씨 말해줘,오늘은 하루종일 맑은날입니다
헤어진지 한달,시간이 흐르는 것 처럼 마음도 흘러갈 거예요
이별 후 새로운 사람 찾아,좋은 사람 만날 거예요
사람은 진짜 다른 가봐,그걸 깨닫다니 대단하시군요
계속 그 사람한테 의지해도 될까,의지해도 좋을 사람이라면 의지해도 돼요
카톡 대화를 삭제하는게 수상해,복원해보세요
머리로는 이제 끝이구나 하는데,머리랑 가슴이 가끔 따로 놀죠
이별 한달 후,달라진게 많을 거예요
남친 어디서 만나,원하는 사람이 있는 장소에 가보세요
집들이고 뭐고 다 귀찮다,안해도 괜찮을 거예요
주체할수 없는 눈물이 흐르네,그냥 우세요
메모하는 습관 필요해,오늘부터 하기로 해요
할 수 있다면 그럴수 있다면 달라질까,자신을 믿어보세요
헤어진지 개월뿐이안됐네,금방 나아질 거예요
헤어진지 달째인데 후폭풍 왔나봐 ㅠ,헤어짐에도 처방약이 있으면 좋겠어요
눈이 침침해,눈 체조를 해보세요
정신이 없어,차분하게 정리할 시간이 필요해요
버스 멀미하는 것 같아,핸드폰 만지지 마세요
썸남이 연애가 다 짧은게 맘에 걸려,당신과 긴 연애하면 되죠
평생 함께하고 싶다,프로포즈해보세요
볼링 치고 놀았어,재밌겠어요
전남친이 톡 차단했더라구,이별에 도움이 될지도 몰라요
헤어진지 세달이 다되가네,이젠 괜찮아졌긴 바랄게요
기절할 정도로 피곤해야 잠드는데,잠 못 드는 밤인가봐요
마지막인가봐,이제는 받아들여야 할 때예요
짜여진 시간표대로 움직이고 있어,그게 마음이 편할 때도 있어요
무서워요,어흥 호랑이보다 무섭나요
제사를 너무 많이 해,좋은 의미를 생각해보세요
한자 공부해야지,공부는 뭐든 좋아요
스노클링 해볼까,즐거운 도전이 될 거예요
이별 일째,아직 시간이 더디게 흐를 거예요
남의 일 도와줘야 할까,해주고 티를 팍팍 내세요
년 전에 강의실에서 강의를 듣는데 갑자기 목이 가눠지지 않는 거야 ,정말 힘드셨겠어요 지금은 괜찮으세요
힘들면 잠시 앉아서 쉬면 낫더라고,조금 쉬면 분명 나아질 거예요
잠 들기가 무서워,내일은 좀 더 나은 하루일 거예요 푹 자길 바랄게요
좀 맞자,저는 오래 살고 싶어요
여기 좋아,좋은 곳인가봐요
남자친구 또 운동 갔어,운동을 함께 해보세요
보고싶습니다,그런 때라고 생각해요
일주일간 괜찮았는데,갑자기 생각나기도 한답니다
여자친구가 데이트 시간을 너무 안 지켜,준비하느라 오래걸리는 친구를 이해해주세요
어제 정말 사랑한 그녀와 헤어졌습니다,울어도 돼요 잠시 쉬어가요
그대가 보고파,많이 사랑했던 사람이었나요
자기 일도 아닌데 고맙다,인복이 많나봐요
남자친구가 잔소리가 심해,더 잔소리해보세요
나만큼 힘들지 않았으면 좋겠습니다,끝까지 멋있네요
어제 오늘 멘탈이 나갔네,그럴만해요
어머,놀랐나봐요
이젠 보내줄게,잘 지낼거예요
왜 나를 의심하지,평소의 행실을 되돌아보세요
너무 힘들어서 정말 너무 힘들어,언제든 더 좋은 사람 만날 수 있어요
짝남이 연락이 안 되는데 자고 있는 걸까,피곤해서 자고 있을지도 몰라요
오늘 큰맘 먹고 연락했습니다,마음 먹느라 고생했어요
심심하다,저랑 놀아요
드디어 데이트인데 뭐하지,야경이 멋져요 야경구경 가세요
죽어버리려고 몽롱한 정신으로 팔목을 그었어 ,정말 힘든 일이 있으셨군요 지금은 괜찮으신가요
헤어질때의 모습이 그 사람의 진짜 모습,그 모습도 그 사람의 부분이에요
술만 먹으면 전화를 안 받아,화장실 갈때 연락하라고 해봐요
집에 여자친구 소개시켰어,서로에게 좋은 인상을 남겼으면 좋겠네요
나 어때,괜찮은 사람이에요
점심 메뉴가 너무 별로였어,내일은 맛있는걸로 드세요
숨막히는건 없어졌네,숨 쉴 수 있어 다행이네요
우리 사귀는 거 맞겠지,직접 물어보세요
정은 많지만 설렘이 없다는 이유로 헤어졌습니다,헤어짐에는 여러가지 이유가 있기 마련이죠
다들 힘들겠지,다들 힘들죠
나는 이제 아프지 않습니다,척이 아니라면 좋겠네요
몸무게는 그대로인데 체력은 엄청 떨어졌어,체력은 모든 활동의 근간이라고 해요 스트레칭이라도 잠깐 해볼까요
좋아하는 사람이 나를 부담스러워해,서로 마음이 같지 않았나봐요
으아 떨려,심호흡을 해보세요
지금 날씨 어때,기온이 높고 화창해요
그리고 나서 깨고 별 생각 없었는데 그 후부터 눈이 잘 안 보여,갑자기 잘 안 보이게 되면 충분히 당황스럽죠 이해해요
잠이 안와,자장가를 불러줄게요
반년만에 연락해봤네,그리웠나봐요
짝남이 공무원준비를 한다는데 고백하면 방해가 될까,방해가 될 수도 있지만 옆에서 응원해주면 든든할 것 같아요
결국 제가 병신인거죠,그런 소리 마세요
년연예년동거 결국 헤어짐 정말,공허함이 크겠어요
여자친구가 더치페이를 안해,데이트 통장에 대해 이야기해보세요
집나가도 갈 데가 없어,선생님이나 기관에 연락해보세요
목 말라,물 마시세요
주말인데 연락해볼까,얼른 연락해보세요
응 그게 나을 것 같아,좋은 생각이에요
오늘따라 시간이 안 가네,퇴근까지 얼마 안남았으니 조금만 더 힘내세요
쫄면 먹고 싶다,얼른 요리해드세요
이별준비 그리고 극복,작은 일부터 시작해보세요 그곳에서 행복을 찾아보세요
직장이 맘에 든적이 없는 거 같애,이직을 생각해보세요
상대방의 후폭풍 따위는 없어,똥차 가고 벤츠 올 거예요
전자 부품 사업을 했는데 잘 안 됐어요,너무 초조해 하지 마세요 일어날 방법이 있을 거예요
그녀 생각만 하면 멍해져,큐피드의 화살에 맞았나봐요
