유저,구분
가슴 속에 응어리가 있는 것처럼 답답해서 죽겠어요,증상/가슴답답
길 가다보면 이상한 종교 집단에서 나와서 전도하는 게 많잖아요,배경/종교
행동도 부자연스러워지고웃는게 웃는게 아니었어요,감정/불편감
고등학교 때 부모님과 갈등이 심했어요 제가 하고 싶은 일이 있는데 다 반대하고 제 얘기는 들으려고도 하지 않더라고요,배경/부모/갈등
약을 정량대로 먹으면 변화가 없는걸 어떡해요,상태/증상지속
그리고 집중력도 되게 흐려졌어 책을 분을 못 읽더라니까,증상/집중력저하
그러니까 너한테만 말하는 거야 다른 사람한테 말하면 욕 먹을 것 같아서,모호함
사실 이런 생각들이 비참한 자위 같아서 요즘은 마음이 좀 심란해요,감정/심란
내 신세가 처량해서 눈물이 나요,감정/눈물
하고 싶은 것도 딱히 없고 빨리 취직하고 싶어서 상고에 갔어요,배경/취업
그러고 나서 다시 괜찮아졌었는데 요즘 자꾸 걔 생각이 나는 거야,배경/친구
하기 싫은데 반복행동을 멈출 수가 없어 ,증상/반복행동
내가 생각하는 게 막 소리로 들리는 것 같아요,증상/환청
대학 졸업하고 년 째 취업 준비 중이야,배경/취업/준비
눈이 나빠졌어 ,증상/시력저하
수면의 질이 너무 나빠진 거 같아,증상/불면
그게 나랑 뭔 상관인가 싶었는데 또 사람 맘이 그렇지 않더라구요,모호함
계속 공모전을 도전하긴 하는데 잘 안 되는 거 같아,배경/공부/부진
원래는 없었는데 편의점 알바 한 후부터 이렇게 됐거든,배경/아르바이트
근데 저는 그렇게 생각하지 않아요 차라리 우울증에 가깝죠,배경/자각/우울증
볼 때 마다 속이 부글부글 끓어,감정/분노
일부러 운동으로 몸을 혹사 시켜서 거의 기절하듯이 자고는 있는데,자가치료/운동
아버지는 화 나면 불 같은 성격이어서 맞은 적도 있어,배경/부모/아버지/폭력
이게 그냥 숨차서 그런 게 아닌 느낌이었어 진짜 계속 두근거렸어,증상/두근거림
일은 어떻게 무마됐는데 그 이후로 맨날 너무 불안해,감정/불안감
형이 취직하고 나서는 국가지원이 바로 끊겼어 그래서 또 한동안 라면만 먹고,배경/경제적문제/가난
차에 타면 뛰어내리고 싶을 정도야,감정/두려움/자동차
어릴 때부터 부모님 따라 해외에 나가 있었어 텍사스에서 제일 오래 살았지,배경/생활/해외
그냥 공기 중으로 스르륵 사라졌으면 좋겠어,감정/자살충동
아무래도 초청강연이고 그래서 사람들이 진짜 많이 왔었어요 ,배경/대학
어머니가 자꾸 남편이랑 나 사이를 방해하는 것 같아요,배경/시댁/갈등
당장 내일까지 제출해야 하는데 머리가 아파서 두 시간 동안 누워 있었던 것 같아요,증상/두통
나는 그냥 속으로만 생각하는데 그게 귀에 들리는 거 같아,증상/환청
대체 내가 왜 아직도 깨어있는 거지,증상/불면
특히 집에서는 시간 정도밖에 못 자요,증상/불면
저도 살아 숨쉰다는 느낌을 받고 싶어요 지금은 죽어있는 느낌이예요,감정/공허감
결혼 전부터 했던 인테리어 일을 다시 하고 있어요 ,배경/직장/복직
그래서 얼른 차를 세우고 당장 를 불렀어,배경/생활/불가능/운전
사실 이 상담도 돈 아까웠는데 그래도 혹시 하는 맘에 와봤어요,내원이유/상담
꼭 나 혼자 산 꼭대기에 올라가 있는 것 같아,증상/호흡곤란
우리는 둘 다 일을 하고 있거든,모호함
제가 중학교 학년 때 부모님이 헤어졌어요,배경/부모/이혼
이것 좀 치료하고 싶은데 어떻게 하는 게 좋을까,모호함
지난 목요일에 무서운 일을 겪었어요,감정/무서움
저를 응원해주는 사람은 왜 아무도 없을까요,감정/비관적
잠을 못 자겠어 ,증상/불면
잠도 안 오고 그래서인지 힘도 없고 피곤해,증상/불면/피로
업무가 너무 단순해서 지루해 선배들 보니까 년 계속 같은 업무야 ,배경/직장/없음/흥미
뭘 시작하면 좋을까 하다 피시방을 시작했거든,배경/사업
무슨 큰 병이라도 있는 건 아니겠죠,증상/건강염려
수업 들으러 가기도 싫고 그냥 계속 무기력해요,증상/무기력
몸이 계속 가라앉아 마치 무덤 속으로 들어가는 기분이야,증상/컨디션저조
밥 많이 먹는다고 얻어맞은 적도 있어요,배경/생활/폭행/피해
그래서 나도 피곤하다 이제 그만하자 하고 헤어지자고 했어요,배경/여자친구/이별
어떻게 가난한데 행복할 수 있죠 그런건 드라마에서나 가능하다구요,감정/부정적사고
아니면 꼭 잘 때 오줌을 쌀 거 같은 기분이 들거든요,배경/문제/불안감/소변
컴퓨터가 분명 꺼진 걸 봤는데도 그걸 몇 번씩 계속 확인해요,증상/반복행동/확인
내 마음 이해하겠어,일반대화
처음엔 신랑이랑 사이가 좋았어요 말도 잘 통하고 취향도 비슷했거든요,배경/남편/관계양호
늘 마음이 편하지가 않아,감정/불편감
중학생 때 내가 왕따를 당했어,배경/학교/따돌림
아무튼 그렇게 살다가 얼마 전에는 회사도 관뒀어요,배경/직장/퇴사
제가 세상에서 제일 무가치한 사람 같아요,감정/자존감저하
작년 여름부터 몸이 점점 다운됐던 거 같아,증상/컨디션저조
인생이 재미 없어졌다고 해야 하나 그냥 다 허무해,감정/허무함
얼마 전에 퇴근하다 어떤 여자를 구해줬거든,배경/생활
보통 마시면 소주 세 병까지는 보통으로 마시는 거 같아요,배경/음주/과음
근데 요즘 들어 부쩍 너무 슬퍼지는 거야,감정/슬픔
저 때 내가 과에서 왕따를 당했거든,배경/학교/따돌림
가게에서 요리는 제가 하고 남편이 전반적인 일을 봤는데,배경/사업
뭐가 문제인지 모르겠는데 어쨌든 그런 것만 보면 짜증나서,감정/짜증
뭔가 시간을 버리고 있단 생각이 들어서 막 초조해져,감정/초조함
근데 안 먹으면 참을 수가 없어 너무 불안해서 견딜 수가 없거든,감정/불안감
몸부림 치면 칠수록 더더욱 깊이 가라앉는 거 같아요,감정/우울감
마음은 안 그런데 화를 낼 때 더 불같이 내게 되기도 하고,감정/감정조절이상/화
뭔가 느낌이 이상해서 어디갔냐고 난리치니까 사나운 애를 어떻게 계속 두냐고,배경/애완동물/가족/갈등
문제는 취업하고 나서 일을 하기 시작하니까 업무가 내가 생각했던 거랑 너무 다르더라고,배경/직장/불만/업무
미치겠어요,감정/힘듦
그러다 할머니가 나를 확 잡아당겨서 품에 안겼어,배경/가족
술이 제일 싸니까 그 중에서도 소주가 제일 싸고,모호함
그걸 반복했더니 년 사이에 키로가 넘게 찌더라,증상/체중증가
오래 자봤자 시간 시간,증상/불면
남편 일이 잘 안 풀려서 경제적으로 힘들어,배경/남편/경제적문제
뒷머리가 무겁고 뒷목이 뻣뻣해지고 어깨가 걸리더라구,증상/두통
졸업하고 바로 경리로 취직을 했어,배경/취업
생각해보니까 뭐 그럴 수도 있을 것 같아서 그래서 일단 와봤어,내원이유/의사소견
아무 것도 하기 싫고 의욕도 없고,증상/무기력/의욕상실
나만 특별해 이게 아니라 그냥 좀 남들과 다른 고민을 하는 성격이거든,배경/성격
강아지한테 밥 줬나 화장실 정리는 했나 가스는 잠갔나 생각날 때마다 확인해요,증상/반복행동/확인
근데 그럼 출퇴근 하는 게 거의 한 시간이 더 걸려 아침엔 많이 막히니까,배경/생활
되는 일이 없어서 그런가,감정/비관적
놀다 보니까 여러 사람하고 어울리게 되고 좀 잘해주는 남자가 있어서 만났어요,배경/남자친구
그 뒤로 새벽에 자다가 깼는데 벽에 머리를 안 박으면 안 될 정도로 갑갑했어,감정/답답
뒤통수가 너무 아파요,증상/두통
나이 들면서 마시는 양이 더 늘었어요 하루에 한 번은 꼭 먹고 많이 먹으면 혼자 병까지도 먹었어요,배경/음주
지난 번에는 일 하고 있는데 제 이름을 부르는 소리가 들렸어요,증상/환청
뭐 큰일 있진 않겠지,감정/걱정
내가 잡지사에 다니거든,배경/직장
대체 이게 무슨 일인가 싶어,감정/답답
내가 몸이 말을 안 들어서 운동도 관뒀는데 관둔 후에도 몸이 말썽이니까,배경/건강문제
요즘 애들이 아무리 빠르다고 해도 이건 아닌 것 같아,모호함
더 이상 내 감정을 내가 컨트롤 못 하겠어,감정/감정조절이상
자신감도 엄청 떨어지고,감정/자신감저하
내 기분이 어땠을 것 같아,감정/생각
애들이 모여서 이야기하고 있으면 꼭 내 얘기 하는 것 같고 미치겠는거야,증상/피해망상
나도 근속을 좀 해보고 싶다,배경/직장/반복/이직
누가 콕 찌르면 울 거 같은 느낌,감정/슬픔
너무 혼란스러워,감정/심란
거기에서 동양인은 저밖에 없었거든요,모호함
혼자서도 잘 지내는데 필요성을 못 느끼겠다고 해야 하나,배경/성격/자립적
중학교 때 좋아했던 친구에게 고백한 적이 있었거든요,배경/어린시절
잠 못 잔 지 거의 몇 년 됐지,증상/불면
그러니까 한 달 만에 가 쪘어요,증상/체중증가
그래서 가끔 생각이 막힌 것처럼 이러니까 자괴감 들고 그래요,감정/자괴감
좋은 환경에 있어도 잘될까 말까 하는데 이런 환경에서 사람답게 살 수 있을까,감정/걱정/미래
사람들이 나를 쳐다보면 아무것도 못 하겠어,감정/긴장
어렸을 때부터 그랬어서 그런 것 같아요,배경/성격
다른 사람한테 말도 잘 못 걸고 ,배경/성격/내성적
남편이 술자리가 잦은 편이야,배경/남편/과음
우리집 먹고 살리려면 일을 해야되는데 취직하기가 어려웠어요,배경/취업/힘듦
그 때부터 점점 무서워지더라구요,감정/무서움
내가 지하에서 원단 나르는 일을 했었거든,배경/직장
부모님은 나 대학만 가면 하고 싶은 거 다 하게 해준다더니 아니잖아,배경/부모
일도 그럭저럭 할 만 했고 같이 일하는 사람들도 좋았어요,배경/직장
제 인생이 잘 풀리긴 할 지 아무리 봐도 그냥 망한 것 같거든요,감정/좌절
남편이 바람을 폈더라고요,배경/남편/바람
너무 절망적이네요,감정/절망감
살 이유가 없어 ,증상/무기력
그러다보니까 내 몸은 못챙긴 것 같아,배경/건강문제
의사가 일단 지켜보고 다음 주까지도 이러면 다른 방법을 찾아보자더라,치료이력/병원내원
문자 보낼 때도 번호를 잘못 저장한 건 아닌지 다섯 번은 넘게 확인하고 보내요,증상/반복행동
나는 주임님이 제안서를 쓰라고 한 거 같아서 막 쓰고 있는데 갑자기 와서 그걸 왜 하고 있냐고 묻는 거야,증상/인지기능저하
그런 날엔 잠도 못 자고 밤을 새게 돼,증상/불면
운동은 필요한데 헬스는 지겨울 거 같고 그래서 주말에 탱고를 끊었어,배경/생활/취미
뭔가 승부욕이 생긴 거지 두고 봐라 네가 나를 안 좋아하고 배기나,배경/연애
내가 좀 크고 나서는 아빠랑 특히 많이 부딪쳤어,배경/부모/갈등/아버지
그나마 얘기 할 수 있는 사람이 목사님인데 그 분도 그닥,모호함
생각보다 예민하다는 소리를 좀 많이 듣는 거 같아,배경/성격/예민함
부모님 집까지 온 건 알겠는데 어디를 가야 할지 모르겠어서 발길 닿는 대로 걸었어요,증상/기억상실
 때문에 집이 망했어,배경/사업/실패
살이 빠져서 그런지 카페 알바 면접을 봤는데 오라고 하더라구,배경/아르바이트
진짜 큰일날 뻔했지,감정/모호함
처음 사귄 남친은 저보다 살 많았어요 관심사가 전혀 달라서 말이 안 통했어요,배경/전연인
요즘 뜬금없이 심장이 쿵쾅거려요,증상/두근거림
그렇게 앓고 난 다음 날에도 자고 나도 개운하지가 않고 막 불쾌하더라,감정/불쾌감
거기다가 과태료가 만원이 걸려 있었어요,배경/경제적문제
살 때는 제 밥 다 먹고 동생 것도 엄청 먹다 체한 적도 있어요,증상/소화불량
괜히 움츠러들어,감정/의기소침
그게 무슨 말인지 모르겠어서 대답 안 했는데 갑자기 옷을 벗더라구요,모호함
어릴 때 거기 미용사님이 그렇게 멋있어 보일 수가 없는 거예요,배경/어린시절
참고 다녀보려고 했는데 너무 힘들 거 같아,감정/힘듦
요즘 부쩍 삶의 의욕이 떨어지는 것 같아,감정/의욕상실
요즘은 죽고 싶은 마음마저 드네요,감정/자살충동
평생 남 눈치만 보다가 이렇게 우울해진 건데 내가 왜,감정/우울감
그래서 서로 합의하에 이혼했지,배경/이혼
내 인생이 어쩌다 이렇게 바보같이 됐나 후회가 밀려와요,감정/후회
물건을 떨어트려서 망가지면 누가 망가트렸구나 이렇게 되고,증상/피해망상
진짜 괴로워서 죽고 싶다 어떡하지,감정/자살충동
